treasure itemtypes "Common","Uncommon","Rare","Epic","Legendary","Divine","Unique"
object category "I_AME_MS_FlamingFist_Left",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_AME_MS_Leather_1",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_AME_MS_Leather_2",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_AME_MS_ChainShirt",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_AME_MS_HalfPlate",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_AME_MS_Plate_Armor",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_AME_MS_Dwarven_Armor",1,0,0,0,0,0,0,0
new treasuretable "CONT_Modular_OS_Helmet"
CanMerge 1
new subtable "1,1"
object category "I_AME_MS_Dark_Justiciar_H",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_AME_MS_Sharran_Shadowheart_H",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_AME_MS_Ketheric_H",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_AME_MS_Myrkul_1_H",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_AME_MS_Myrkul_2_H",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_AME_MS_Myrkul_3_H",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_AME_MS_Aylin_Armor_H",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_AME_MS_Githyanki_1_H",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_AME_MS_Githyanki_2_H",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_AME_MS_Drow_1_H",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_AME_MS_Drow_2_H",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_AME_MS_Drow_3_H",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_AME_MS_Oathbreaker_H",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_AME_MS_Wavemother_H",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_AME_MS_Abdirak_H",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_AME_MS_Dream_Guardian_H",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_AME_MS_Lucretious_H",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_AME_MS_FlamingFist_1_H",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_AME_MS_FlamingFist_Left_H",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_AME_MS_Leather_1_H",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_AME_MS_Leather_2_H",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_AME_MS_ChainShirt_H",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_AME_MS_HalfPlate_H",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_AME_MS_Plate_Armor_H",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_AME_MS_Dwarven_Armor_H",1,0,0,0,0,0,0,0
new treasuretable "CONT_Modular_OS_Underwear"
CanMerge 1
new subtable "1,1"
object category "I_AME_MS_Dark_Justiciar_U",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_AME_MS_Sharran_Shadowheart_U",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_AME_MS_Ketheric_U",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_AME_MS_Myrkul_1_U",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_AME_MS_Myrkul_2_U",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_AME_MS_Myrkul_3_U",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_AME_MS_Aylin_Armor_U",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_AME_MS_Githyanki_1_U",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_AME_MS_Githyanki_2_U",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_AME_MS_Drow_1_U",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_AME_MS_Drow_2_U",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_AME_MS_Drow_3_U",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_AME_MS_Oathbreaker_U",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_AME_MS_Wavemother_U",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_AME_MS_Abdirak_U",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_AME_MS_Dream_Guardian_U",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_AME_MS_Lucretious_U",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_AME_MS_FlamingFist_1_U",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_AME_MS_FlamingFist_Left_U",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_AME_MS_Leather_1_U",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_AME_MS_Leather_2_U",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_AME_MS_ChainShirt_U",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_AME_MS_HalfPlate_U",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_AME_MS_Plate_Armor_U",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_AME_MS_Dwarven_Armor_U",1,0,0,0,0,0,0,0
