treasure itemtypes "Common","Uncommon","Rare","Epic","Legendary","Divine","Unique"
object category "I_ARM_Clothes_m_outsider",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Clothes_m_outsider_Camp",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Boots_m_outsider",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Boots_m_outsider_Camp",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Clothes_t_str_jindosh",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Clothes_t_str_jindosh_Camp",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Boots_t_str_jindosh",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Boots_t_str_jindosh_Camp",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Clothes_daud_body01",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Clothes_daud_body01_Camp",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Boots_daud_body01",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Boots_daud_body01_Camp",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Clothes_f_civ_middle04",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Clothes_f_civ_middle04_TMTS",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Clothes_f_civ_middle04_Camp",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Clothes_f_civ_middle04_TMTS_Camp",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Boots_f_civ_middle04",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Boots_f_civ_middle04_Camp",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Clothes_f_grd_elite01",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Clothes_f_grd_elite01_TMTS",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Clothes_f_grd_elite01_Camp",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Clothes_f_grd_elite01_TMTS_Camp",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Boots_f_grd_elite01",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Boots_f_grd_elite01_Camp",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Clothes_f_sister",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Clothes_f_sister_TMTS",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Clothes_f_sister_Camp",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Clothes_f_sister_TMTS_Camp",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Boots_f_sister",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Boots_f_sister_Camp",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Clothes_f_str_breanna_TMTS",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Clothes_f_str_breanna_TMTS_Camp",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Boots_f_str_breanna",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Boots_f_str_breanna_Camp",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Clothes_f_str_hypatia",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Clothes_f_str_hypatia_TMTS",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Clothes_f_str_hypatia_Camp",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Clothes_f_str_hypatia_TMTS_Camp",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Boots_f_str_hypatia",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Boots_f_str_hypatia_Camp",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Clothes_f_str_mindy01_TMTS",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Clothes_f_str_mindy01_TMTS_Camp",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Boots_f_str_mindy01",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Boots_f_str_mindy01_Camp",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Clothes_t_civ_aristo01",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Clothes_t_civ_aristo01_Camp",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Boots_t_civ_aristo01",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Boots_t_civ_aristo01_Camp",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Clothes_t_civ_aristo02",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Clothes_t_civ_aristo02_Camp",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Boots_t_civ_aristo02",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Boots_t_civ_aristo02_Camp",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Clothes_witch02_TMTS",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Clothes_witch02_TMTS_Camp",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Boots_witch02",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Boots_witch02_Camp",1,0,0,0,0,0,0,0
